What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Terrible,No,Somewhat difficult,The prompts were not accurate and sometimes background noise would confuse the virtual assistant. ,,3,4,5,2,1,Extremely uncomfortable,Because the assistant doesn’t understand what I’m saying. It’s very frustrating. ,After trying the automated system once,Neutral,Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,It would ask for my password and I would enter it and it would confirm it or have me enter it twice. ,I would enter my account number and it would read the balance to me. ,I would expect to be given the option of speaking to a live agent to describe the issue. 
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,Understanding the issue that I am dealing with,,5,3,4,2,1,Extremely uncomfortable,Dont want my information stored in any form,Immediately,Neutral,Neutral,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Not Comfortable,"That I am asked information to know that its me, then respond according to my needs",Giving information to identify that it is me then allowing me to get information,Highlight what I have done already and give additional information to complete my task
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Neutral,,,4,5,3,2,1,Somewhat uncomfortable,I like real people,After trying the automated system once,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,I have no idea how to answer this question,I have no idea how to answer such a hypothetical question,I have no idea how to answer such a hypothetical question
55-65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,They don't always understand or give you appropriate options.,,5,3,2,4,1,Somewhat comfortable,,Immediately,Neutral,Neutral,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,would prefer to do this online.,routine,Not certain
45-54,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,Ythey do not understand the problem ,,3,1,2,4,5,Somewhat uncomfortable,They are a time waster ,Immediately,Comfortable,Comfortable,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Neutral,Comfortable,Voice assistant send me an email’s ,Same,Smart 
65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,using the right words yo get to the next step,,5,3,4,2,1,Somewhat uncomfortable,concern that info well be used improperly,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,password is correctly accomplished,account balance obtained,not sure ow this would play out
25-34,Male,"$10,000,000.00",Neutral,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Yes,Somewhat easy,,most of the parts,3,5,2,4,1,Neutral,,Immediately,Not Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,great,i dont really know,kind of a sorta 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Social media messaging,,A few times a year,To ask a question about a product or service,,Always prefer an voice assistant,Good,Yes,Neutral,,,4,1,2,3,5,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,By communication ,Through email ,Through social media 
45-54,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat difficult,"Often times they ask a lot of questions and don’t answer them adequately and after spending a lot of time answering those questions as best as possible, I have to speak to a live agent anyway",,1,2,4,5,3,Somewhat uncomfortable,I don’t think that companies really take the time to really explain why they need to collect such information and it’s tough to know which companies to trust ,After trying the automated system once,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Neutral,Not Comfortable,"I’m not really certain. This can be a tedious and confusing task to begin with and it’s frustrating to need to do this, so I find it more comforting and reassuring to confirm with a live person ",I have used this many times and I find that it works very well,I would be happy if it works out but I think it may be very complicated and frustrating. I think that a human interaction generally makes me feel reassured and that a company actually cares about me 
25-34,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To ask a question about a product or service,,Prefer a voice assistant but may speak to a live agent,Good,Kind of,Somewhat easy,,I wasn't looking into anything complex,1,3,2,4,5,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Not Comfortable,Neutral,Comfortable,Not Comfortable,Sending an otp to confirm my identity before asking for the new password ,Asking for my pin before giving out my account balance ,Question it to tell me the uses of an option 
65,Female,"$10,000,000.00",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,They aren’t able to understand/address my question ,,2,3,1,4,5,Somewhat uncomfortable,May not understand details of my question ,Immediately,Neutral,Neutral,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Don’t understand this question ,I don’t have faith in this survey. Your grammar is incorrect. It is “ a voice assistant “ not “an voice assistant “.  ,It doesn’t play out 
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat easy,,It understands what I am saying sometimes and don’t ask questions further,4,3,2,1,5,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,It is playing out fine and good ,It is going fine with our interaction ,My questions are answered correctly so the interaction goes well
35-44,Male,"$10,000,000.00",Extremely comfortable,In person visit,,A few times a month,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Delightful,Kind of,Somewhat easy,,Y and I will get it done too and I can do ok,2,1,5,3,4,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Providence and it’s nice to have you too much ok,Very very close and nice to have a great weekend and great weekend ok,Very very close and nice to have a very very 
35-44,Female,"$10,000,000.00",Extremely comfortable,Email,,Daily,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,It is very easy ,1,2,4,3,5,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,It is very good,It is very good ,It is very easy 
55-65,Male,"$5,000,000 - $10,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,"They cannot address your specific issue, only pre-canned ones.",,2,3,4,5,1,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Neutral,Neutral,Comfortable,a brief chat,a simple question and answer,"not too well.  Once my need is more complex, the voice assistant stops being helpful"
35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Social media messaging,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Delightful,Yes,Extremely easy,,It's straight to the point. It'll give you detailed information that is sometimes left out.,2,4,3,1,5,Extremely comfortable,,Only if the automated system cannot help me,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,I can it going very well. The assignment can help ways that technology can be implemented.,It'll be something to look forward towards when wanting to get visible results,Using as vice assistant cuts time in the system
35-44,Female,"$1,000,000 - $5,000,000",Extremely uncomfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Terrible,No,Extremely difficult,"When I call, it’s usually for a very specific thing that a virtual assistant can’t help with. Otherwise, I would have handled it on an online chat with a virtual assistant. Calling is kind of a last resort, but when I call, I need an actual human. ",,3,4,2,5,1,Neutral,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,"I have never called about this. I always handle online. But I guess I would expect a lot of questions to verify my identity to make sure the account belongs to me. I wound expect a text or something to my phone on file, etc. ",I would press a number for this as an option after entering my info. This is a simple task. ,This would be difficult with a virtual assistant. I would expect to have questions and it would be hard to not have a human looking at the same screen. I’m guessing pre-recorded responses here would be hard because everyone has unique problems with internet connectivity. AI might help? 
35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,Daily,To get help with a technical issue or difficulty,,Prefer a voice assistant but may speak to a live agent,Good,Kind of,Somewhat easy,,Great job guys it was all a great experience,5,1,3,4,2,Somewhat comfortable,,Immediately,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,I'd really like to use the voice assistant,This interaction would be on An app,I'd like to go to my company's homepage with the voice assistant
65,Male,"$1,000,000 - $5,000,000",Neutral,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Kind of,Somewhat difficult,hard to explain the issue in terms it understands,,1,3,5,4,2,Somewhat uncomfortable,not sure what is being interpreted and saved/stored,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,verify my identity and then allow me to reset,verify my identity and then access info,this should be done without any verification of identity
65,Female,"$1,000,000 - $5,000,000",Neutral,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Extremely difficult,they are very reluctant to refer me to a live agent,,4,5,2,3,1,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,that it will take longer than with a live agent,this should not take long at all since it is straight forward,hopefully not being on hold for a long time
35-44,Male,"$10,000,000.00",Extremely comfortable,Phone,,Daily,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Very good and strong support the ,2,5,1,4,3,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Very good and strong support the ,Very good and strong support the ,Very good and strong support the 
35-44,Female,"$1,000,000 - $5,000,000",Somewhat uncomfortable,In person visit,,A few times a year,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,Annoying ,,5,2,3,4,1,Extremely uncomfortable,Not a fan of machines,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,No idea,Fine,Ok
55-65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,Key words are understood ,3,1,5,4,2,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Typing a response rather than verbal,No issues ,No issues 
